Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E12000001,North East,E06000001,Hartlepool,18535,18192,19536,20986,20797,21613,23392,25095,23663,24286,25757,24198,24957,26208,25970,25525,26929,26523,28653,27714,31553
E12000001,North East,E06000002,Middlesbrough,16807,17345,17357,18418,19157,20006,21831,21264,21260,20572,22724,21708,22742,24565,24966,24141,25434,26044,26645,26337,28958
E12000001,North East,E06000003,Redcar and Cleveland,19781,17688,19929,21391,20324,22268,21017,23111,21529,23607,22154,24344,24976,25023,24403,25390,24973,25836,26675,24811,28924
E12000001,North East,E06000004,Stockton-on-Tees,19493,19866,22007,23066,22423,23569,24315,25072,24472,25240,24677,26595,26154,26607,27752,26538,26889,29477,29450,28434,31797
E12000001,North East,E06000005,Darlington,17265,17479,18564,18670,19183,22185,20933,21965,22944,23261,23206,22461,26231,25299,27514,27797,26445,27703,27039,30435,29312
E12000001,North East,E06000047,County Durham,:,18063,18827,19719,19891,21043,21490,21791,22728,22817,23828,24068,24676,24746,25011,25667,26331,27557,28239,28137,30190
E12000001,North East,E06000057,Northumberland,:,19201,20326,20992,21657,21628,22551,23974,25173,25064,24490,25088,24892,25114,26454,27113,27460,27430,28472,29061,30799
E12000001,North East,E08000021,Newcastle upon Tyne,19045,19610,20453,21010,21403,21109,22255,22562,22289,22030,23331,24287,25343,26425,26577,26691,26928,28024,29050,30297,30969
E12000001,North East,E08000022,North Tyneside,17389,17915,19670,20057,20255,20529,22030,23781,24061,24017,23887,24185,24480,25757,26092,27855,28726,29525,29523,29027,31869
E12000001,North East,E08000023,South Tyneside,18866,19880,18541,19318,20370,20557,21664,23479,23242,22760,23231,23792,23925,24471,23744,25301,24979,25930,26529,27445,29455
E12000001,North East,E08000024,Sunderland,16779,17181,17940,19089,19626,20541,20783,21555,22350,22321,22642,23708,24165,24655,25171,24914,25649,25456,26626,24948,27549
E12000001,North East,E08000037,Gateshead,17827,17405,18474,20054,18963,19986,20933,22158,23091,23000,24458,24594,25078,24974,25049,25802,25985,26504,26476,26996,29561
E12000002,North West,E06000006,Halton,18908,19032,20433,20011,19740,21946,22462,22140,22849,22781,23776,24998,25207,24974,25250,26143,27592,27690,30405,28810,32103
E12000002,North West,E06000007,Warrington,19787,21617,22157,23345,25794,24463,26778,26324,26506,26159,26617,25905,26203,28207,27856,28168,30776,30877,30245,31428,32448
E12000002,North West,E06000008,Blackburn with Darwen,18037,18626,20349,20867,21010,21752,20823,23097,22941,20974,21753,22091,23283,21519,22768,23183,23449,25121,24554,25907,27434
E12000002,North West,E06000009,Blackpool,15669,17240,17121,18134,18261,19461,19003,19384,18597,19254,19294,19943,19695,21010,21429,23055,22943,24795,24526,22666,24571
E12000002,North West,E06000049,Cheshire East,:,23463,24298,26711,25554,25653,26377,27248,26006,26441,27072,27349,28294,27845,28754,28682,29881,31960,32601,31568,34569
E12000002,North West,E06000050,Cheshire West and Chester,:,22948,24441,24782,24129,25652,26252,27788,28603,26114,26981,28000,28000,28561,28819,29478,29756,30970,31389,32461,33661
E12000002,North West,E07000026,Allerdale,21322,20577,20176,23102,23825,23411,23817,24565,27060,22999,23749,26326,27811,26327,29315,29363,29730,30474,33339,35391,33849
E12000002,North West,E07000027,Barrow-in-Furness,18025,18825,19549,20454,22218,22731,24566,24545,26136,25402,25296,27627,30475,25977,25885,30025,33580,31929,35230,34546,30513
E12000002,North West,E07000028,Carlisle,18347,18560,19412,20941,21449,21783,22663,21100,22451,21997,22660,22646,22268,22988,23342,23192,24174,26437,29140,26525,29616
E12000002,North West,E07000029,Copeland,26200,25595,28246,28177,28775,32534,33394,32501,34278,32026,34600,38368,39061,40006,38620,43252,44281,33132,45067,43509,36224
E12000002,North West,E07000030,Eden,17521,19008,16838,19309,19843,20980,22915,19123,19180,21571,21408,25672,22815,23752,24257,24413,24506,29095,30683,31677,29174
E12000002,North West,E07000031,South Lakeland,19439,19759,22409,22358,22244,23130,23884,25420,25107,23798,24709,26245,26395,26104,29611,27983,29404,28582,29411,30303,32792
E12000002,North West,E07000117,Burnley,18280,19450,18708,20748,21017,19683,22096,20758,21204,21484,22628,23725,22041,22473,24142,23659,24795,28050,25334,27115,28156
E12000002,North West,E07000118,Chorley,19974,20671,20273,22025,21887,22595,23518,24417,24154,24591,25723,23881,24745,25821,27486,27463,30169,31094,31157,33954,32453
E12000002,North West,E07000119,Fylde,22062,24216,24512,25558,23705,26370,28859,28205,29066,29654,27677,29351,30996,24926,26983,30498,31837,31545,33449,30518,31994
E12000002,North West,E07000120,Hyndburn,15937,16260,15940,17933,17564,17931,18810,20751,21659,22767,20726,21074,22040,22421,23549,25069,22627,24912,24850,26891,27226
E12000002,North West,E07000121,Lancaster,20431,20804,21225,22103,22466,24721,25342,25231,25487,26165,24020,28672,27752,26374,27915,27612,26995,28193,29308,30971,30721
E12000002,North West,E07000122,Pendle,16528,17012,17221,18770,19747,19787,21812,21342,21703,22544,21866,22582,24630,24845,24132,25344,27289,27038,25559,23352,25828
E12000002,North West,E07000123,Preston,19414,20323,19801,21088,19240,21291,22382,24298,22731,22309,22910,22131,22925,23218,24680,24176,25880,26057,26887,27443,28897
E12000002,North West,E07000124,Ribble Valley,21722,21064,24016,24860,22580,24797,25742,24644,24013,26240,25760,26861,28817,27659,28215,27955,30783,32491,33963,33134,34627
E12000002,North West,E07000125,Rossendale,16487,18522,20604,20367,22323,21147,23812,23290,22191,24428,24550,22624,23028,24293,24041,23379,25000,26093,27643,29009,29181
E12000002,North West,E07000126,South Ribble,20832,20342,21283,22107,22815,23784,25965,24803,25206,24877,25087,25797,26204,25730,26884,26750,27733,28014,29086,28260,30899
E12000002,North West,E07000127,West Lancashire,20664,21150,22093,22732,23583,24700,24495,23933,25474,25446,25318,25918,25048,26104,27798,28445,29902,28396,29616,28422,30424
E12000002,North West,E07000128,Wyre,18913,20727,22382,22845,22699,19834,22513,21615,22250,22846,27098,25824,24594,27266,24620,25327,25191,26497,27240,29348,31451
